IdLineaPunto	IdLineaRuta	IdPunto	Orden	Latitud	Longitud	Distancia	Tiempo
86	1	1766	86	-17,782792	-63,170335	0	0
87	1	1718	87	-17,782882	-63,171189	91,1	0,27
88	1	1719	88	-17,782936	-63,171782	63,16	0,19
89	1	1996	89	-17,782795	-63,172136	40,65	0,12
90	1	1711	90	-17,782451	-63,172197	38,62	0,12
91	1	1706	91	-17,781988	-63,172276	51,92	0,16
92	1	1761	92	-17,780853	-63,172419	126,53	0,38
93	1	1712	93	-17,780187	-63,172513	74,38	0,22
94	1	1795	94	-17,779521	-63,172609	74,41	0,22
95	1	715	95	-17,779421	-63,172831	26,01	0,08
96	1	1275	96	-17,779694	-63,173995	127,07	0,38
97	1	1457	97	-17,779851	-63,174992	107,14	0,32
98	1	1456	98	-17,780134	-63,176729	186,83	0,56
99	1	1256	99	-17,780287	-63,177664	100,58	0,3
100	1	1814	100	-17,780457	-63,17877	118,77	0,36
101	1	1790	101	-17,781499	-63,178509	118,6	0,36
102	1	1687	102	-17,782498	-63,178337	112,06	0,34
103	1	1670	103	-17,783533	-63,178252	114,91	0,34
104	1	1669	104	-17,784542	-63,178153	112,17	0,34
105	1	1671	105	-17,78538	-63,178014	93,91	0,28
106	1	1783	106	-17,786312	-63,177796	105,71	0,32
107	1	1684	107	-17,786529	-63,17884	113,27	0,34
108	1	1349	108	-17,786742	-63,180125	138,28	0,41
109	1	1455	109	-17,786915	-63,181232	118,93	0,36
110	1	1454	110	-17,787091	-63,182301	115,01	0,35
111	1	1271	111	-17,787249	-63,183332	110,71	0,33
112	1	1785	112	-17,78739	-63,184373	111,48	0,33
113	1	1832	113	-17,787582	-63,185345	105,23	0,32
114	1	1699	114	-17,787741	-63,186242	96,72	0,29
115	1	1722	115	-17,787795	-63,18644	21,83	0,07
116	1	1749	116	-17,787892	-63,186668	26,45	0,08
117	1	1727	117	-17,78812	-63,187282	69,82	0,21
118	1	1833	118	-17,788624	-63,187739	73,89	0,22
119	1	1831	119	-17,788777	-63,18791	24,81	0,07
120	1	2042	120	-17,789441	-63,187715	76,34	0,23
121	1	2043	121	-17,789529	-63,187634	12,99	0,04
122	1	1805	122	-17,789776	-63,187556	28,56	0,09
123	1	1803	123	-17,790604	-63,187434	92,55	0,28
