IdPunto	Latitud	Longitud	Descripcion
2	-17,800659	-63,185692	P 2    
3	-17,783154	-63,172292	P 3    
4	-17,797887	-63,215916	P 4    
5	-17,79769	-63,216896	P 5    
6	-17,773615	-63,191947	P 6    
7	-17,798871	-63,168768	P 7    
8	-17,812585	-63,190361	P 8    
9	-17,794373	-63,162225	P 9    
10	-17,823166	-63,210237	P 10   
11	-17,773479	-63,191992	P 11   
12	-17,728354	-63,1569	P 12   
13	-17,747593	-63,152501	P 13   
14	-17,79691	-63,216193	P 14   
15	-17,775429	-63,182082	P 15   
16	-17,789683	-63,182999	P 16   
17	-17,785668	-63,171699	P 17   
18	-17,782832	-63,172338	P 18   
19	-17,793855	-63,188001	P 19   
20	-17,795957	-63,190393	P 20   
21	-17,794593	-63,188849	P 21   
22	-17,795382	-63,189749	P 22   
23	-17,822333	-63,183951	P 23   
24	-17,794182	-63,203708	P 24   
25	-17,822362	-63,186926	P 25   
26	-17,82235	-63,184681	P 26   
27	-17,822174	-63,188176	P 27   
28	-17,822262	-63,184551	P 28   
29	-17,823119	-63,183971	P 29   
30	-17,822943	-63,182796	P 30   
31	-17,822043	-63,177635	P 31   
32	-17,821869	-63,177368	P 32   
33	-17,822501	-63,180546	P 33   
34	-17,822532	-63,180916	P 34   
35	-17,822546	-63,181261	P 35   
36	-17,822581	-63,182698	P 36   
37	-17,822592	-63,183426	P 37   
38	-17,822231	-63,178353	P 38   
39	-17,822354	-63,179053	P 39   
40	-17,822562	-63,181967	P 40   
41	-17,803882	-63,152714	P 41   
42	-17,8025	-63,151874	P 42   
43	-17,799424	-63,168729	P 43   
44	-17,79922	-63,168824	P 44   
45	-17,803442	-63,166186	P 45   
46	-17,801146	-63,167684	P 46   
47	-17,800338	-63,168195	P 47   
48	-17,801839	-63,167222	P 48   
49	-17,802571	-63,166754	P 49   
50	-17,771972	-63,202715	P 50   
51	-17,796365	-63,211151	P 51   
52	-17,796706	-63,212666	P 52   
53	-17,797056	-63,214215	P 53   
54	-17,795631	-63,2079	P 54   
55	-17,795479	-63,207248	P 55   
56	-17,79589	-63,209025	P 56   
57	-17,795755	-63,208427	P 57   
58	-17,795299	-63,206495	P 58   
59	-17,796022	-63,209614	P 59   
60	-17,796197	-63,210384	P 60   
61	-17,773776	-63,190694	P 61   
62	-17,772492	-63,200948	P 62   
63	-17,772863	-63,198106	P 63   
64	-17,772743	-63,199026	P 64   
